document,label sentiment,label category
garbag realli disappoint thi doe need updat servic worst ever keep consum space arent improv pleas ,neg,performance
keep close everi time updat profil forc close uninstal reinstal sever time ,neg,bug
still better look doesnt legit featur ,neg,ui
veri unsatisfi get mobil notif happi text notif ,neg,ui
acct second keep get lost reent ,neg,bug
favorit thi use app surpris still free ,pos,feature
pretti good love peopl want follow amaz follow youtub favorit ,pos,feature
close sebd back anybodi profil includ ,neg,feature
twitter onli use thi noth compar dont complaint ,neg,feature
use show tweet phone notif say tweet tweet click never open tweet click first place instead drag notif page hopelessli drown flood tweet notif never find tweet read ,neg,ui
amaz wish could charact tweet ,pos,feature
use glitch veri use problem like updat profil great gave star ,neg,feature
enjoy thi good tweet retweet thing keep good work guess hope someon actual read compani stay cool ,neg,feature
chang header start lag restart would visit account would restart pleas ,neg,bug
pointless updat updat useless take space arent introduc anyth highlight keep advertis suck make updat actual updat someth ,neg,performance
fantast twitter year start april 16th 2012 problem consist forceclos work wonder ,pos,bug
alway forc close like button someon tweet ,neg,bug
media dont like look media section look much better often like someth retweet doesnt show straight away make sure crash often ,neg,ui
bringbackthestar heart thi thi isnt facebook tumblr thi twitter home fav chang thi stuff absolut stupid honestli hate ,neg,feature
work expect twitter noth differ comput version ,pos,feature
design like idea use white primari colour differ colour compar bottom icon resiz seem ,pos,ui
veri use love twitter best social network alway updat favorit celeb tweet ,pos,feature
video problem cant play videoin browser playabl ,neg,bug
good thi need known bug ,neg,bug
like everytim like post crash close updat need didnt problem would give star problem fix ,neg,bug
notif matter set notif anyway pleas kind annoy ,neg,ui
good log view account ,pos,ui
bettrr win10 could definit improv ,pos,feature
yike time whenev chang header icon close view profil close either restart phone reinstal ,neg,ui
twitter love inform easi alot great peopl site ,pos,feature
amaz dont check comput eazeh ,neg,feature
highli disappoint media shown pleas revert previou layout revers wish view media thi layout ,neg,undefine
problem work pleas fix muhammadasif ,neg,ui
crash troubl likebutton everi time click crash problem appear replac favbut like hope youll ,neg,ui
good updat gif love heart place star still appeal ,pos,ui
want less hater shut twitter time make better ,pos,feature
galaxi grand prime mute function doesnt work ,pos,bug
easi doe thi thing work use year still sure ,neg,feature
glitch need fix unpin pin tweet longer work mani imag appear timelin blank ,neg,ui
slow dont know updat ,neg,performance
hate cant full video thi occur everyon pleas thi ,neg,bug
worst twitter client unstabl slow lose scroll posit time stupid away thing cant turn rather parti client thi garbag ,neg,performance
annoy notif manag twitter account work onli mobil notif enabl follow direct messag still highlight retweet notif dont want need thi connect twitter need work pleas thi annoy ,neg,ui
updat doesnt seem help keep crash whenev write tweet view timelin twitter mobil keep crash fail day even though tri clean phone memori frequent updat fix bug rate back star real improv updat seem like ,neg,bug
noic veri well applic great featur 1010 approv ,pos,feature
great bore give info need peopl know love ,pos,feature
charact usernam twitter increas charact usernam least charact futur updat overal twitter great keep ,pos,ui
twitter life thi onli alway work love ,pos,feature
solid doe everyth want gener twitter post ,pos,feature
good tri thi get done ,pos,feature
thi actual bother realli hate doesnt show tweet retweet ,neg,ui
defin excel onli give star becaus alway room develop ,neg,feature
happen without turn bogu news station nice ,pos,feature
creat error phone tell creat error make phone slow ,neg,undefine
cant open love thi bust made close befor open ,neg,performance
glitch everi time profil screen say unfortun twitter stop work pleas thi ,neg,ui
last updat recent updat poor need refresh timelin notif sever time updat need follow button timelin must back veri nice make follow peopl come easili ,neg,undefine
notif notif dont show refresh mani time mentionsdm pleas thi ,neg,undefine
twitter best best social applic found twitter ,pos,feature
zoom doubl work fine doubl zoom ,pos,ui
twittervers rock great great potenti troll need sort though ,pos,feature
good guy pleas redesign thi twitter let someth beauti ,pos,ui
timelin twitter updat suck wont load timelin everyth okay cant timelin ,neg,bug
think amust becaus easi share view univers give five star ,pos,ui
mobil notif cant mobil notif work keep set soon leav page reset messag say updat set fail ,neg,ui
need kick post photo pleas ,neg,ui
useless thi get worst worst cant tweet pictur simpl compar facebook crap wonder share wont long befor becom like myspac realli need turn thing round ,neg,feature
pleas statu profil made statu black profil look ugli pleas ,neg,undefine
love twitter instagram snapchat life ,pos,undefine
great doesnt like twitter like come ,pos,undefine
guy suck video wont play pictur wont load even stuff complain ,neg,undefine
love short sweet point easi retweet share easi read interest tweet easi follow anyon want noth complic ,pos,undefine
twitter simpl best hate one ,pos,undefine
love much thi jaan mean sweetheart ,neg,undefine
video cant view video twitter play corrupt pleas ,neg,undefine
tweet 277 thi addit awesom ,pos,undefine
aight better visit browser mobil ,pos,undefine
