document,label sentiment,label category
forc close onc updat header automat close cant even look wall caus twitter isnt respond tweet anyway pleas thank ,neg,bug
less star becaus mute user still appear list retweet fact cant seem abl mute hashtag anoth star remov becaus either dont care user lazi updat section ,neg,feature
prioriti follow page friend veri hard notic friend tweet think twitter priorit tweet friend onli page onli thi catch miss prioriti set notif tweet star account sometim dont even pleas thi issu soon possibl ,neg,feature
heart realli heart button crash immedi like ever sinc introduct mayb time final someth month ,neg,ui
video close bring back view someon profil ,neg,bug
guy suck much useless frequent updat pleas keep stabl first befor releas public plu pleas updat version note section hate weve comment pleas seriou thi guy ,neg,feature
chang mani updat follow still kind order month follow middl follow anyon follow also video play veri sluggish ,neg,feature
tweet take forev send surpris amount updat seem nothingon twitter updateand actual make bettersadli probabl wont lifetim jump scroll find tweet long peopl complaind thi still doe ,neg,bug
stop updat twitter becom like facebook everyday alreadi facebook even right facebook uninstal twitter mess ,neg,feature
love twitter hate like like post wasnt plan like becaus use like button post ,neg,ui
still twitter keep crash profil pictur help like peopl account everi minut ,neg,bug
twitter descent thing need chat live peopl think would cool enhanc bubbl tweet peopl live chat twitter follow ,pos,feature
updat header twitter kept crash mobil start work uninstal reinstal anyon issu ,neg,bug
glitch whenev updat banner forceclos wont back onto profil ,neg,bug
uiux suck thing hell uiux design thought put likertrepli button right side suck time plu space uneven realli annoy eye use love brows twitter kill honestli thing appear much fetch tweet seem slower sinc updat ,neg,ui
click copi doesnt acknowledg type text long press select copi befor post copi ribbon doesnt acknowledg copi copi text ,neg,ui
need improv first charact veri less option edit tweet freez seconds option directli tweet option appear second take time send video take approxim minut send file ,neg,feature
love great keep date peopl thing sometim scroll randomli refresh back news feed dont know apart realli wish could someon els type within direct messsag ,neg,bug
love twitter onli thing miss would cool could share locat like disney land could share disney land love app ,neg,feature
fuk crash still stop like tweet updat hasnt done good thi fckin nut suck alreadi ,neg,bug
drastic chang twitter veri notic sadli worst longer thi oper expect improv rememb thi excit lost interest offer well ride last ,neg,bug
twitter chang banner crash uninstal reinstal love twitter issu youll star ,pos,bug
widget issu cant widget anymor irrelev promot tweet pleas thi ,neg,ui
great great problem highli class veri easi watch celebrati tweet first class ,pos,feature
like annoy work well doe say damn ask like everyth annoy core function leav data gather asid ,neg,feature
chang pleas chang idea thi updat occur stop auto updat refus manual updat tell urg user make feel thi subject known directli although comment without updat play delet funni googl ,neg,feature
problem havent abl post tweet retweet peopl tweet like peopl tweet would greatli appreci could solv thi problem soon possibl becaus realli like thi shame delet devic ,neg,bug
enjoy updat understand chang social use simplist becaus social activ literaci someth peak interest enough establish curios dislik andor like simpli click post geniun solidifi form interest post video photo like origin twitter favorit button made twitter origin timelin media need adjust respectivli someon post subjectednotifi lack interest twitter ,neg,feature
februari updat 2016 still worst keep get even wors lameth lightn bolt featur awesom shame cant whi twitter ugli actual like profil page profil trend news wish werent hard rest mess great would someth like timelin swipe trend swipe profil hardli twitter anymor becaus lame ,neg,feature
curs thi pleas give back twitter twitter connect facebook urgh wait messag accident reset thi cant rememb password pleas give back twitter connect facebook thank ,neg,feature
review hasnt chang sinc juli 2015 signific improv updat upon updat thing hate thi disappear obnoxi automat timelinelist refresh take twitter feed dont want mani pictur fail load video playback complet corrupt time tweet retriev stop suddenli unabl keep scroll unabl anoth twitter client curs thi terribl lame ,neg,feature
promo bomb use fine truli bomb promot full page irrelev promo clutter pointless push messag also seem crash touchwiz android also use person addressbook realli busi thi remov browser instead control person inform done treat cattl ,neg,feature
good use twitter awhil easi navig issu actual switch third parti twitter becaus want access nativ featur like poll analyt abil clear notif build websit onli issu devic scroll timelin dont mind see suggest follow onc show multipl time get annoy quick ,neg,feature
conni love great appi enjoy twitter thank ,pos,feature
good twitter often gotten use updat thing bug timelin onli show retweet tweet thi happen befor thi updat uninstal redo realli dont want whenev thi happen pleas ,neg,bug
crash updat keep get wors multipl useless updat reinstal mani time gif vine still major issu work notif come late ever lose place feed scroll back though hour worth post plenti wouldnt want miss actual go issu peopl rant instead ad advertis make layout uglier ,neg,bug
fuss thi pretti cool trendi hashtag call riptwitt think guy check said dont want like facebook hope would happen becaus hate facebook mess want edit button onli ,neg,feature
twitter great veri inform depend follow teen babyboom updat phone 1215 updat ,pos,feature
cool stabl anyway twitter tend make small mistak sometim normal resolv point number thing cant thi youll need real comput sure dont need recommend thi anybodi sinc everybodi alreadi whether actual like twitter differ issu ,neg,feature
best app love twitter becaus wordi doesnt take long read news thing love see funni thing peopl come awesom ,pos,feature
hashtag keep updat exactli crap sinc introduct like button often freez crash dure like anim difficult would like possibl follow hashtag dont want search time even parti app make easier ,neg,feature
thi rubbish twitter use phone except android good time scroll timelin forc close video wont load pictur wont load aswel thi star rate pleas ,neg,bug
